_____,______,_______,______,________,______,_______,_______ ________,____,____,____ ________,web,_______
,Arab Contracting-Artzone,____ ___,", _____",_____,_____,______,_______-_____ ______ ___-_____ _____-_ 1,01/366241-03/702702,,artzone2010@hotmail.com,,
,ARMOBEL,____ _____,", ____ ______, _____",___ _____,_____,______,____ 2001-____ _____ _______,01/688735-6-03/250997,01/688354,armobel@armobel.net,www.armobel.net,
,Audsun Solar Energy,____ ____,", ____ _____",______,______,____,____ ____-_____ ____ _______-_____ _____ _____,08/802002-03/222693-70/222693,,,,
,a-z manufacturing & Trading,____ ____,", ____ ______",_____,_____,________,______ _____-____ _- _ 16,01/611885-6-71/588573,01/611887,info@azcorp-intl.com,www.azcorp-intl.com,
,Azar & Abi Habib Est,____ _____,", ____ _______",___ _____,_____,______,___________-_____ ________ ________,01/258431-2-03/304944,01/241668,azar@azarandabihabib.com,www.azarandabihabib.com,
,Bachour Co,____ ____,", ____",_____ ______,______,_____,______ _____-____ ____,70/965761,,,,
,Bag it sal,____ ______,", _____",___ _____,______,___ ____,_______ ________-_____ ___ ___-_____ ____________-_ ____,09/216912,,,,
,Bata Kitchens,______ ____,", _____",___ _____,_____,_________,___________ _____-___ ____ ___,04/534648-03/601208,,info@batakitchens.com,www.batakitchens.com,
,Bavaria Lebanon LTD,____ _____,", ________",___ _____,_____,__ _____,____ _____ ____ ____-_____ ___ HBL-_ ____,01/487893-4,01/487895,sales.lebanon@bavaria-firefighting.com,,
,Befco sal,____ ____,", ____ ______",___ _____,______,___ ____,___ _____ _______ _______,09/218510-03/279627,09/218510,tony.mehanna@befco.com,,
,Bekaa Pack,____ ____,", _____ _____",______,______,______,___ _______-______ _____,03/616284-08/814902-545885,,bekaa_pack@hotmail.com,,
,Beton Create,___ _______,", _____ ____",_____,_____,______ _______,_____ ____-_ 3,03/762299-71/227114-70/882211,,aliabdallah_999@hotmail.com,,
,Bioland,____ ______,", ____ ______",_____,_____,________,_______-____ ____ _____ _______-_____ ___ 4222,01/398111-03/613439,,,,
,Black Box,____ ___,", _____ _____, _____ ________",_____,_____,________,______-____ _____-_____ ___-_ 1,01/443773-03/203708,01/445795,info@blackboxcontrol.com,www.blackboxcontrol.com,
,Boisselier Safi,_____ ____,", _______",_____ _______,______,______,________-____ _____ _________,03/331423,,bs.safi@cyberia.net.lb,,
,Bookstop,______ _____,", _____",___ _____,______,_____,_______ _____-_____ _____-_ ____,09/930628-09/639175,09/932188 ext 31,mail@bookstop.net,www.bookstop.net,
,Born for Energy,___ _____,", ____ _____",___ _____,_____,________,______-___ Blc-____ _____-_ 2,05/951773-03/998611,05/951766,info@bornforenergy.com,www.bornforenergy.com,
,Bread Republic,____ _____,", _____ _____",_____,_____,________,___ ______-____ ______,01/201520-03/633898,,info@breadrepublic.com,www.breadrepublic.com,
,C Food International,____ ______,", ____ ______",_____,_____,______,____ ________-____ C-___ 601,01/352353,01/352351,,www.c-food.info,
,C.I.T.E.C sarl,____ ______,", ______ ________",___ _____,_____,______,____ _______-_____ ______,01/258258-258000-03/705551,01/251900,info@citeconline.com,www.citeconline.com,
,C.R.E.A.D,____ ____,", _____",___ _____,_____,__ _____,___ ________ _____-_____ ______,01/253222-03/198833,,arch.cread@gmail.com,www.cread.com,
,Ca sal,___ ____,", _____",_____,_____,______ _______,____ ____ ____-____ ____,01/304444-71/454945,01/815678,info@ca.com.lb,www.ca.com.lb,
,Café Espresso,____ ____,", ____ ___",___ _____,_____,__ ________,____ _____ _____,01/267676-03/760351-03/869435,,,,
,Cake & Cookies,___ ___,", ______",___ _____,_____,_______,______ _____-___ _____ ______ _ 100 _,04/913917-76/177785,,cakeandcookieslb@gmail.com,,
,Canne A Sucre,________ ____,", ______",___ _____,_____,______,___ ____ ___ ___ ____ _______,01/894258-03692969,,,,
,Cappuccino,____ _____,", ____ ___",___ _____,_____,____,___________-_____ ABC-_____ catu 1-_ 3,04/415514-71/670745,,carl.cappuccino@gmail.com,www.grupocappuccino.comcap,
,Cath & Mouth,_____ ____,", ______",_____,_____,________,________-_____ ALF___ _______-_ ____,01/512170-512180-03/726725,,,,
,CC Technique,____ _____,", ____ ___ __",___ _____,_____,________,______-_____ ____-_ ____,05/493006-03/899385,,rabih.sabeh@cctechnique.com,www.cctechnique.com,
,Cedars Tech,____ _______,", _____",___ _____,_____,_____,___ ___ _____-____ ______,05/924410-05/924335,,info@cedars-tech.com,www.cedars-tech.com,
,Chateau Isaac,____ _____,", _______ _____",___ _____,______,____,___ ____-___ ____ ____ _______-_____ ______-_ 1,09/740175-70/150659,,info@chateauisaac.com,www.chateauisaac.com,
,Chemico Mechanical Engineering,____ ____,", ____",___ _____,_____,________,_______-___ _______ _______-_____ ____ ______-_ ___ _____,05/454624,05/545292,info@chemicosarl.com,www.cme-sarl.com,
,Chez Fadi Catering,____ ____,", ____ ______",______,______,____,___ _______ ________-____ ____ ______-_____ ______,70/163872,,,,
,Chocolatine,___ _____,", ______",_____,_____,______,_____-___________-____ _____-_ 1,01/860799-860899,,chocolatineleb@gmail.com,,
,Clear Vision,____ ____,", ____",___ _____,_____,_____,____ ____-___ _____ ________,05/461578-303000-463403-76/168989-03/153355,,charbel@clear-vision.me,www.clear-vision.me,
,Clearsource,____ ______,", _____ ____",___ _____,_____,___ ______,_____ ___ ____-_ 1-_____ _____ _____,01/490478-03/302446-05/952281,05/952281,sales@clearsourcesarl.com,www.clearsourcesarl.com,
,CMG Steel Structure,___ _______,", ______",_____,_____,________,_____ ______-___ ____ ______ _____,01/378875-6-03/535953,01/378152,archetect_74@hotmail.com,,
,Cocoa & co,____ _____,", ______",_____,_____,_____,____ _______,01/398574-70/255158,,info@cocoa-and-co.com,www.cocoa-and-co.com,
,Concraft Shaping Concrete,____ ____,", _____ ____",___ _____,______,___ _____,_____ ___ ____-_ 3,09/213098-70/720047,,,www.concraft-lb.com,
,Consolidated Technology Industries,____ _____,", ____ _____",___ _____,_____,__ _____,______ _____-_____ _____,04/721800-03/352696,04/711841,info@cti-businesses.com,www.cti-businesses.com,
,Continental Glass sal,_____ ____,", ____",___ _____,_____,______,____ ___ _____-___ ___ _______,01/888541-2,,michel.h@continentalglasslb.com,www.continentalglasslb.com,
,Cornelli,____ _______,", ____",___ _____,_____,______,____ ___ ___,01/892212-900746,,info@fandbtrading.com,www.fandbtrading.com,
,Cosmotel,____ _____,", _____ _____ ______, ______ ______",_____,_____,_____ _______,____ _____ ____ _____-____ ____ ____-_____ ____-_ 5,01/811926-03/876024,01/580785,khussami@idm.net.lb,,
,Criollo Chocolatier,____ ____,", ______",___ _____,_____,_____,________-____ _____-___ ______ ______,76/051699-70/800678,,criollochocolatier@outlook.com,,
,Crouwn Office,____ ______,", _______",___ _____,_____,____,___________-___ _______ _________-____ ____ ____,03/746256,,crownoffice3000@gmail.com,,
,Curtains 4 Life,_____ ____,", _____",___ _____,_____,__ _____,____ _______--___ _____ ____-_____ ____,04/715710-70/110100,,touma@curtains4life.com,www.curtains4life.com,
,Custom Wood,____ ___,", _______, _____",___ _____,_____,____ ____,____ _______,01/551368-03/726331,,order@customwood.me,www.customwood.me,
,Cut & Bend Factory,____ ___,", ______",___ _____,_____,________,___ ______-____ ____-_ 5,05/459614,05/459622,cutandbendservices@gmail.com,,
,Cutlass-V sal,____ ___ _____ ____,", _____ _____ ______",_____,_____,________,______-____ _____-_____ ____,01/566072-568072-78/936956,01/556073,cutlassv@cutlass-v.com,www.cutlass-v.com,
,D. Kitchen,____ ____,", _____",___ _____,______,_______,___________-____ __________,09/444406-03/668568,,,,
,De Techno Concrete,____ ________,", _____ ____",___ _____,_____,____,______ _____-____ ____,05/291706-03/794762-03/762879-71/166694,,de-techno-crete@hotmail.com,www.de-techno-crete.com,
,Dekerco,_____ ___________,", ____",___ _____,_____,______,_____ _____-_____ ______ ______,01/896796-890137-891309-03/877002,01/876022,dekerco@dekerco.com.lb,www.dekerco.com.lb,
,Desir NoirChocolat,____ ____,", ______",___ _____,_____,______,___ ____ ______-___ ______ _____,01/899163-03/635231,,desirnoirchocolat@hotmail.com,,
,Dessange-Bakar Beauteb International,_____ ___,", ________ _____",_____,_____,________,___ ABC-___ ________ ________,01/325503-03/300555,01/328175,spiro@dessange-lb.com,,
,Doculand The Copy Center,____ ______,", _____, _____",_____,_____,______,____ ___-___ ___ ____,01/365025-740357,,info@doculand.com.lb,www.doculand.com.lb,
,Doors & Gates,___ ___ ____,", _____ ____",_____,_____,______,_____ ____ ______,01/447070,01/584683,,,
,Dorsal,____ ______,", ____",___ _____,_____,______,___ ______-_____ ________-____ ____- _ ____,01/496101,01/496102,info@dorsal-rl.com,www.dorsal-rl.com,
,Double Sum,____ _____,", _______",___ _____,_____,_____,____ ___ _______-____ ____ ___,05/240208-03/706350,,,,
,DTB sarl,___ _____,", _____",_____,_____,_____,____ _______-_ 5,01/754054-754045,01/354054,info@dianatabbarabohsali.com,www.dianatabbarabohsali.com,
,EGR Consumer,____ _______,", _____ ____",___ _____,_____,__ _____,____ BEC -_ 10,04/721661-2-3-4-03/877594,04/721665,info@egrconsumer.com,www.egrconsumer.com,
,Electro Power Co sarl,____ _____,", ______ ________",___ _____,_____,____ ______,_____ ______ ______ ______-_____ _____ ___-_ 4,01/451452-70/701100,01/458005,roula@kmcolb.com,,
,Elegance for Trade,____ _________,", _____",___ _____,____,_____,_______ ________-___ ____ ______-_____ ____,09/445802-76/400068,09/445803,,,
,Elements,____\___,", _______",___ _____,______,_____,___________-___ ______ ______-___ ____ ___,09/913713-04/545456,,,www.elementslb.com,
,Enco Group,____ _______,", _____ _____",___ _____,______,_____,___________-____ ____ ____-_ 3,09/218148,09/218149,encogroup@encogroup.net,www.encogroup.net,
,Encyclomedia,____ ____,", _____",_____,_____,_____,____ ____ _____-____ _______-_ 1,03/663253-773197-01/389944,01/389944,ali.k@encyclomedia-lb.com,www.encyclomedia-lb.com,
,Engineering Façade Solutions,______ ____,", ________",___ _____,_____,_____,____ _________-_____ ____ ____-___ _____,01/546235-546284-71/856578-03/203828,01/546284,info@efs.com.lb,www.efs.com.lb,
,Envirowater & Food Technology,____ ___ ____,", _____ ____",___ _____,____,____,_____-____ _____-_____ ______ ___ ____,09/945024-70/290650,,najibabi@gmail.com,,
,Espace Rangements,____ _____,", _____",___ _____,_____,________,______ ______ _____-___ ____,05/950902-3,05/951837,espace.rangements@dm.net.lb,,
,Est Lebeniste,____ _____,", _______",___ _____,_____,__ ________,_______ ________-___ ___ ___-_ 2,01/497275-03/366336,,,,
,Ets Elie A. Khalil,____ ____,", _____ _____",___ _____,______,___ _____,____ ___ ________ _________-_____ ____ ____,09/218668-03/772052,09/214275,info@elie-khalil.com,www.elie-khalil.com,
,Ets Power Coating,____ _______,", ____",___ _____,_____,___ _____,_______ ________,03/597232-03/174825,,,,
,Ets. Hasrouny,____ ______,", _____",___ _____,______,___ ____,_______ ________--_____ ____ _____,09/223637-03/671992,,info@hasrouny.com,www.hasrouny.com,
,Euro Beton Co,_____ _____,", _____ ____",___ _____,_____,_______,____ ______,05/437288-71/652265-71/257255,,,,
,Euro Kit,____ _____,", _____",___ _____,_____,__ _____,____ GGF-_ ____,01/482530-03/303680,,contact@eurokitonline.com,,
,Eurotrade Catering Equipment,____ _____,", _____ _____ ______",_____,_____,_________,______,01/563310-03/736812,01/563311,vassily@ecegroups.com,www.ecegroups.com,
,Eversafe sarl,____ ___,", _______ _____",___ _____,_____,___ ____,______ _______,03/247634-01/255288,,,,
,Fair Trade Lebanon,_____ _____,", ____ ______",___ _____,_____,________,____ ________-____ ______-_2,05/952153-03/211985,,r.elchemali@fairtradelebanon.org,www.fairtradelebanon.org,
,Fedex Kinkos,_____ _____,", _____",_____,_____,________,_____-____ _____ ________ _______,01/202003,01/202118,osama.masoud@fedexkinkos.com.lb,www.fedexkinkos.com.lb,
,Ferik Steel,____ ____,", ______",___ _____,_____,________,_______ ________-____ _____ ____ ______,01/691129-684782-03/371617,,,feriksteel@hotmail.com,
,First Plast,____ ____,", _____ ______",___ _____,_____,______,_______ ________-____ _____ _______,05/801429,,,,
,Fredy World Est. Trade & Industry,_____ ____,", ________",______,______,____,_______ ________-___ _______,08/932451-03/821904,08/932450,fred.sh@live.com,www.fredworldtrade.com,
,Frigo Plus,____ ____,", _____ _____ ______",___ _____,______,_____,_____ ___ ___ _______,09/236224,,,,
,G. Abdelmassih & Co. sal,____ _________,", ______ ________",___ _____,_____,______,____ _______-_____ ___-_ ____,01/267111,01/267444,joseph@abdelmassih.net,www.abdelmassih.net,
,Galleria Design,__ ___,", _______, _____",___ _____,______,___ ____,____ _______,03/625884-70/538835,09/211097,info@galleriadesign-lb.com,www.galleriadesign-lb.com,
,Gemco,____ ____,", _____ _____ ______",_____,_____,______,____ ____ _____,01/787528-03/645234,01/788157,info@gemcolb.com,www.gemcolb.com,
,Genial sarl,____ ______,", _______",___ _____,____,_____,____ ________-_____ _______,09/622555-735888-71/449044,09/622444,,www.genial.com,
,Georges Abou Adal & Cie,____ ____,", _____, ____ ______",___ _____,_____,________,_____ ______ ___-_____ ______-_ 3,01/512212-312-323102,01/511833,admin@abouadal.com.lb,,
,georges Ghnatios,____ ________,", ______",___ _____,____,____,_____ ______-____ _____-___ ____ ________,09/795512-03/841124,09/541124,info@georghanatios.com,www.georghanatios.com,
,Getaway,____ _____,", _____",___ _____,_____,__ _____,_____ _____ ___-_____ _____,01/511617-03/299872,,hibri@get-way.com,www.get-way.com,
,Ghais & Bedran Co,____ ___,", ____ _______",___ _____,_____,,____ ____-________,03/815515-03/561394,,,,
,Ghass Plast Est,_____ _______,", _______",___ _____,_____,________,_________-____ _____-_____ ______,05/485076-7-03/033435,,ghassplast@hotmail.com,,
,Glass Premium,___ _____,", ____",___ _____,_____,______,___ __ ____ ______-_____ ____,01/693120-693119-03/239773,,paul@glass-premium.com,www.glass-premium.com,
,Glass Studio,___ ______,", ____",___ _____,_____,______,_________ _____ ____-____ ___ ____-_____ ____,01/477111-477222-71/477111,01/477222,office@glass-studio2000.com,,
,Golden Water,_____ ___,", _____ ____",_____ _______,______,____,____ ____-____ ____-___ _____ ___ ___,03/699421-03/906841,,,,
,Goutblanchb,____ ______,", _____ ______",___ _____,____,_____,_______-___ _______-____ _______ _________,09/760688-03/392923,,walid@goutblanc.com,www.goutblanc.com,
,GPS Steel,____ _______,", ______",___ _____,_____,___ ____,____ _______-___ _____ ________ _______-_____ _______,01/246965-03/196225-03/583260,,gps.steel.co@gmail.com,www.gps-leb.com,
,Green Elec,____ _____,", ____ _____",___ _____,_____,___ ______,____ _____ ________-_____ _____ _____-_ ____,04/910052-03/555085,,info@green-elec.com,www.green-elec.com,
,Green Energy,____ _____,", _____ ____",___ _____,_____,___ ______,____ __________ ____-_____ ______,01/492785-71/313816,,info@greenenergy-lb.com,www.greenenergy-lb.com,
,Groupna,____ ____,", _____ ____",___ _____,_____,______,____ _______-____ ____-_ 6,01/242560-255957,,retail@groupnasarl.com,www.groupnasarl.com,
,Haber Printing Press,____ ___,", _____",___ _____,______,___ _____,____ _____-_____ _____-_ ____,09/211935-222935-03/765961,,info@haberprinting.com,www.haberprinting.com,
,Hamco sarl,____ ____,", ____",___ _____,_____,________,____ _______ _______-_____ ____ ____-_ ____,05/454292-03/277447,,,,
,Hands On,_____ _____,", ____ ______",_____,_____,________,______ _____-____ D-_ 9,01/397167-03/080908,01/397167,info@handsonlb.com,www.handsonlb.com,
,Hasco Diamond Tools,______ _________,", _____ _____",___ _____,_____,________,_______,05/431103-03/246902,,hasco_lebanon6@hotmail.com,,
,Hawilo Stones,____ _____,", ____ _______",___ _____,_____,__ _____,____ ___ _____-___ _______ _____,76/333320,,,,
,Health Box,_____ ___,", ___ _______",_____,_____,_____,____ _______-___ ____,01/345610-05/456775-03/681000,,sabine@healthbox.me,www.healthbox.me,
,Hice sal,____ ___,", _____ _____ ______",___ _____,_____,__ _____,_____ ____ ____ _,04/772378-723787-03/087018,04/724787,fadirizk@hice-lb.com,www.hice-lb.com,
,Hi-Tech Fap,____ _________,", _____",_____ _______,______,_______,______-_____ _____,03/664597,06/442787,fawaz955@inco.com.lb,,
,House Of Bags,______ ____,", ____",_____,_____,______ _______,____ ___-___ _____ ______-_ ____,01/317113-03/810091,,,,
,I Make,____ ____,", _____",_____ _______,______,____,________ ______-___ ____ ___,07/739402-70/900087,07/739402,diab@imakekitchen.com,www.imakekitchen.com,
,Ijazi Investment Co.,____ _____,", ____ _____",_____ _______,______,____,____ ___ _____ ______,07/753752-03/358484,,ghassan.hijazi@iicinternational.com,www.iicinternational.com,
,image eads,____ _____,", _____",_____,_____,___ _______,____ _______-_____ _____-____ 436,01/365554-70/365554-71/365554,,,www.imageads.com.lb,
,Imapel Leather sarl,____ __________,", ____",___ _____,_____,______,______ _______-___ Agility-,01/242442-248977,,,,
,Industrial & Printing Systems,____ _____,", _____",___ _____,_____,______,____ __ ______-____ ____ ___ 10 _,01/683133-70/024888,,,,
,Integgrated Paving & Contracting Co.-IPPC,____ ____,", _____ ____",______,______,_____,_____ _______ _____-____ _______-_ 2,08/544154-03/100029,08/544154,hammoud.hammoud@intpaving.com,www.intpaving.com,
,inter line.lb,____ _____,", _____",___ _____,_____,______,____ ______ _____,04/444580-1-70/700581,,interline@interline-lb.com,www.interline-lb.com,
,International Wood Interior-IWI,____ _____,", _____",___ _____,_____,_____,___ ________-____ ____,05/570710-03/244282,,gm@iwi-lb.com,www.iwi-lb.com,
,interprint,_____ ____,", _____",___ _____,_____,________,___ ______-_______ ________-_____ ____ ____ ____,01/511870,01/511871,,,
,Isotop,___ ____,", ______",___ _____,_____,___ ____,______ _____,04/983471-984023,04/983491,info.lb@isotop-group.com,www.isotop-group.com,
,Jari Steel,____ ____,", ______",_____ ______,______,____,______ _____-____ ____ ____,70/111298,05/811765,jaristeel@hotmail.com,,
,Jat-Cho,____ ____,", ______",___ _____,_____,______,____ ______,04/911896-922968,,,,
,JAZ sarl- Rubber Co,____ ______,", ________",___ _____,_____,___ _____,___ ____ ___,01/890854-03/660269-03/648173,,,,
,Joie D`Offrir-Le Groupe des Septsets,____ _____,", ______",___ _____,______,______,____ ____ ______,09/223794-223307-03/704224,09/223306,ghassan@joiedoffrir.com,www.joiedoffrir.com,
,Jonatex,____ ____,", ______ ______",___ _____,_____,____ ______,______ _____-_____ ____ ____,04/961305-808240-808733-03/250825,04/808236,info@jonatexhome.com,www.jonatexhome.com,
,Juice Up-Live Up sal,_____ ____,", _____",_____,_____,________,________-___ ____ ____,01/423324-03/361919-70/699339,,philippeletayf@hotmail.com,juiceup-lb.com,
,Jules Nasr Trading-J N,______ ___,", ______",___ _____,_____,________,___ Sibom-___ ________ _______,01/686111-03/332687,,,,
,Just Sign,____ _____,", _____",___ _____,_____,_____,____ ______ _______-___ ____ _____,01/877644-03/626762,,,,
,Kain Group Est,____ ____,", _____ _____",_____ _______,______,_______,____ ________-____ ____,07/224330-03/224011,07/224331,m.kain@breaker-lb.com,www.breaker-lb.com,
,Kamana Glass Co,____ _____,", ____",_____ _______,______,______,_______-______ _____-____ _______,03/560514-06/200333,,,,
,Kappa Systems,___ ____,", _______",___ _____,______,___ ____,____ NDU-___ ____ _____,09/215919-03/298929,09/215919,info@kappa-systems.com,www.kappa-systems.com,
,Kassis Kitchen,____ _____,", _____",_______,______,_______,________-____ _____-_ ____,03/561433-78/833443,,info@kassiskitchen.com,www.kassiskitchen.com,
,Kfoury Décor,____ _____,", _____",___ _____,_____,____ _____,______ _____-___ _______,03/449481,,kfoury_decor@hotmail.com,www.kfoury-décor.tk,
,King Georges,____ _______,", ______",___ _____,____,___ _______,___________-___ _____ ______ ____ ______,09/446000-446600-447000-447700-71/524448,09/44320,info@kinggeorges.com,www.kinggeorges.com,
,Kingdom,____,", _____",___ _____,_____,______,_________ ____ _______-___ _____,01/548246-78/980999,,info@kingdom-lb.com,,
,Kitchen 5 Star,_______ _____,", _____",___ _____,_____,_______,___ _______,03/870826-03/649550,,,,
,Knaider sarl,____ _____,", _____",___ _____,_____,______,____ __ __ __-_____ _____-_ ____,01/685057-8-03/451452,01/685059,knaider@sodetel.net.lb,,
,KokoSport Uniforms,_____ ________,", _______ _____",___ _____,_____,___ ____,____ ______-_____ ____-_ 1,01/264002-258187-03/809002-355226,01/264002,gildakd@hotmail.com,www.kokosport.com,
,Krj inustria,_____ ______,", ____ _____",___ _____,_____,______,____ ________,05/302807-03/832319,,,,
,KVA Co,_____ _____,", ______ ________",_____,_____,_________,____ ____-_ 7,01/260333,01/259205,asaf@kvasal.com,www.kvasal.com,
,Le Cardinal,______ ______,", ______",___ _____,_____,__ _____,___________-____ _____ _____,04/719230-1,,info@cardinalbam.com,www.cardinalbam.com,
,Le Chateau Du Chocolat sarl,____ _____,", _____",___ _____,______,___ ____,___ NDU-_____ ____ ___-_ ____,09/219862-3-03/215357,09/219864,nasri@lechateauchocolat.com,www.lechateauchocolat.com,
,Le Chaudron,______ ____,", ______",___ _____,_____,________,____ ____ _____-_____ ______ ______,05/955796-03/804085,,info@lechaudronlb.com,www.lechaudronlb.com,
,Le Meilleur Catering,___ ____,", ____ ______",___ _____,______,___ _____,____ ____-_____ ____ _____,09/225778-71/807207-03/702462,,catering@le-meilleur.org,www.le-meilleur.org,
,Le Parfait Patisserie,____ ____,", ______",_______,______,_______,______-______ _____-____ __________,07/436254,,,,
,Leather Mania,_____ ______,", ____",_____,_____,_____ ______,____ ___ __ ______-_____ ______-___ _____ ____,01/652883-70/639635,,info@leathermania-lb.com,www.leathermania-lb.com,
,Libertek,_____ ____,", _____",___ _____,______,_______,_____ _____ _______-_____ ____ ____-_ 1,09/936722-831991-830991-911090-03/445598,,,,
,Life crete,____ ____,", _____ ____",___ _____,_____,______,____ _____-_ 2,01/262334-70/009545,01/262344,info@lifecrete.com,www.lifecrete.com,
,Lift-Tech Elevators & Escalators,_____ _____,", _____",___ _____,_____,___ ___,______ _____-_____ _____-_ 1,04/986280,,info@lift-tech.com.lb,www.lift-tech.com.lb,
,Logestron,____ _____,", _____",___ _____,_____,__ _____,_____ __ ____- _ ____,01/490803,,sales@lodestron.com,www.lodestron.com,
,LUD Burgers & Steaks,____ _______,", ____ ______",___ _____,_____,____,______ ___________ __ ___,04/403803-01/684984,01/684984,info@lvdiner.com,www.lvdiner.com,
,Mac Trading & Construction,____ _____,", ____",___ _____,_____,________,___ ________-_____ ____ ___-_ ____,01/686223-03/610216,,acropolispaints@hotmail.com,,
,Made of Wood,____ ______,", _____",___ _____,_____,___ ____,___ _____ _________-___ ____ ____,03/507193,,made_of_wood@ymail.com,,
,Magic Glass,____ ___,", ____",___ _____,_____,____ ______,____ ____-_____ ______,01/454033-03/661093-03/435957,,info@magicglass-lb.com,www.magicglass-lb.com,
,Magical Potato sal,_______ ____,", _____ _____",___ _____,_____,________,_______ ________-___ ______ ________-_____ _____-_ 1,01/484121-76/887342,01/491982,info@magicalpotato.com,www.magicalpotato.com,
,Magnolia Bakery,_____ ______,", ___ ____",___ _____,_____,____,___ ____ ____-_____ _______,04/545948-70/723890,,magnoliabakery@eaternity.net,,
,Maison de la Gaufre,___ ____,", ______",_____,_____,___ _____,____ _______-_____ ______(___ ___)-____ A-_ 1,01/985398-76/567012,,info@waffleshome.com,www.waffleshome.com,
,MAISON DU FER,____ ______,", _______, ______",___ _____,_____,___ _____,_____ ____-____ ___ _____,04/870769-03/443828-76/740780,04/972528,,,
,Maison et Parquets,_____ _____,", _____",___ _____,_____,__ _____,________-_____ _____-___ ____ ___ ___,01/492668,01/492667,gracetrad@maisonsetparquets.net,www.maisonsetparquets.net,
,Maison M,____ _____,", ____ ______",___ _____,_____,_______,____ ____-_____ _____ _______,04/413969,,,,
